Entity,Code,Date,"Daily new estimated infections of COVID-19 (ICL, mean)","Daily new estimated infections of COVID-19 (IHME, mean)","Daily new estimated infections of COVID-19 (YYG, mean)","Daily new estimated infections of COVID-19 (LSHTM, median)","Daily new confirmed cases due to COVID-19 (rolling 7-day average, right-aligned)"
Afghanistan,AFG,2020-04-06,1875.66,2547.16467168003,,251.056008122458,31.71429
Afghanistan,AFG,2020-04-07,1955.7,2706.80543131082,,263.632149585617,35.57143
Afghanistan,AFG,2020-04-08,2033.76,2880.81557197767,,267.279007668863,35.42857
Afghanistan,AFG,2020-04-09,2085.67,3068.74270549632,,302.885880448242,35
Afghanistan,AFG,2020-04-10,2120.04,3269.54450466421,,321.079719913049,36.71429
Afghanistan,AFG,2020-04-11,2147.07,3481.53019452583,,361.742739119142,36.57143
Afghanistan,AFG,2020-04-12,2231.19,3702.29268977942,,352.67779670741,38.57143
Afghanistan,AFG,2020-04-13,2280.26,3928.67052448207,,371.967082411668,42.57143
Afghanistan,AFG,2020-04-14,2331.36,4156.81353350983,,385.659775726425,41.57143
Afghanistan,AFG,2020-04-15,2363.62,4382.34245867631,,396.325122905023,48.57143
Afghanistan,AFG,2020-04-16,2394.52,4600.57299316943,,399.673766463029,50.85714
Afghanistan,AFG,2020-04-17,2421.24,4806.8375569609,,332.04772338569,53.57143
Afghanistan,AFG,2020-04-18,2460.74,4996.81000916568,,335.165680896132,54
Afghanistan,AFG,2020-04-19,2519.46,5166.82809618391,,352.12681671402,55.57143
Afghanistan,AFG,2020-04-20,2581.23,5314.12157886985,,373.684889013616,51.57143
Afghanistan,AFG,2020-04-21,2629.16,5436.96041243831,,338.229788801877,54
Afghanistan,AFG,2020-04-22,2687.18,5534.75673792647,,335.755602948673,56
Afghanistan,AFG,2020-04-23,2734.03,5608.13537220191,,334.471593016546,56.42857
Afghanistan,AFG,2020-04-24,2797.59,5658.92780203754,,399.010572294949,60.57143
Afghanistan,AFG,2020-04-25,2859.27,5690.08101403874,,398.053913537386,75.71429
Afghanistan,AFG,2020-04-26,2949.99,5705.51305943684,,419.240621219583,76.42857
Afghanistan,AFG,2020-04-27,3050.09,5709.97867908386,,388.194483130598,96.71429
Afghanistan,AFG,2020-04-28,3117.55,5708.84853474441,,468.624709742616,105.28571
Afghanistan,AFG,2020-04-29,3211.71,5707.83904765749,,492.983608798187,109
Afghanistan,AFG,2020-04-30,3298.5,5712.73972459445,,499.141913366203,127.28571
Afghanistan,AFG,2020-05-01,3399.38,5729.28924426843,,553.879055004555,137.14286
Afghanistan,AFG,2020-05-02,3521.73,5763.14867645182,,590.951553459816,143.71429
Afghanistan,AFG,2020-05-03,3617.69,5819.7713418836,,583.850420006399,167.57143
Afghanistan,AFG,2020-05-04,3735.28,5904.39733512625,,658.890699971908,170.14286
Afghanistan,AFG,2020-05-05,3819.75,6022.10110174965,,648.56179237267,199.28571
Afghanistan,AFG,2020-05-06,3942.5,6177.7975382431,,738.764094154827,207.57143
Afghanistan,AFG,2020-05-07,4054.59,6376.26004413528,,742.380650809911,205.28571
Afghanistan,AFG,2020-05-08,4165.77,6622.13409576234,,697.9926819959,212.85714
Afghanistan,AFG,2020-05-09,4306.35,6919.78758843873,,706.561909829168,224.57143
Afghanistan,AFG,2020-05-10,4463.25,7273.0036142772,,749.246208746234,242.57143
Afghanistan,AFG,2020-05-11,4605.79,7684.53671212565,,797.38168566243,256
Afghanistan,AFG,2020-05-12,4744.94,8155.61740379403,,826.978687070133,249
Afghanistan,AFG,2020-05-13,4894.56,8685.6453795465,,791.110822549945,262
Afghanistan,AFG,2020-05-14,5058.33,9271.83716346512,,820.737077956451,296.57143
Afghanistan,AFG,2020-05-15,5213.6,9908.87543711154,,785.137578504459,324.71429
Afghanistan,AFG,2020-05-16,5400.1,10588.7203631409,,1148.13707115471,337.28571
Afghanistan,AFG,2020-05-17,5642.58,11300.5661921021,,1027.88708008917,323.14286
Afghanistan,AFG,2020-05-18,5863.11,12030.8916644354,,975.082057040215,340.85714
Afghanistan,AFG,2020-05-19,6088.06,12763.8760670709,,1023.34390621667,383.71429
Afghanistan,AFG,2020-05-20,6319.08,13482.0049651326,,1149.32079163544,417
Afghanistan,AFG,2020-05-21,6548.06,14167.2720323314,,1247.93286411136,433.85714
Afghanistan,AFG,2020-05-22,6779.48,14802.7532706284,,1428.10402465399,452.14286
Afghanistan,AFG,2020-05-23,7028.24,15374.6377786676,,1207.83815135558,514
Afghanistan,AFG,2020-05-24,7284.51,15873.2971922608,,1551.06831717472,560
Afghanistan,AFG,2020-05-25,7523.62,16293.7472015494,,1701.6263738926,586.14286
Afghanistan,AFG,2020-05-26,7787.79,16635.872482948,,1797.04485155054,597.14286
Afghanistan,AFG,2020-05-27,8070.67,16903.9225263217,,1851.0144595065,616.14286
Afghanistan,AFG,2020-05-28,8354.31,17105.6377733517,,1935.17123832053,623.14286
Afghanistan,AFG,2020-05-29,8631.3,17251.687942431,,1987.38562378729,634.71429
Afghanistan,AFG,2020-05-30,8924.76,17355.2182441252,,2061.14008186124,646.71429
Afghanistan,AFG,2020-05-31,9235.2,17430.6477292934,,2142.32322376969,660.42857
Afghanistan,AFG,2020-06-01,9556,17492.7175483532,,2237.04018175335,653.85714
Afghanistan,AFG,2020-06-02,9879.92,17555.7058547823,,2270.16172901441,668.28571
Afghanistan,AFG,2020-06-03,10250.14,17632.6152332478,,2384.11964385762,687.28571
Afghanistan,AFG,2020-06-04,10603.05,17734.5187974472,,2525.60827429342,716.85714
Afghanistan,AFG,2020-06-05,10943.81,17870.0891459426,,2720.13746667678,758.57143
Afghanistan,AFG,2020-06-06,11290.98,18045.6993163566,,2979.44457414455,718
Afghanistan,AFG,2020-06-07,11433.04,18265.6970064559,,2925.93923504106,733.85714
Afghanistan,AFG,2020-06-08,11449.36,18532.6448757723,,3109.78088869844,738.14286
Afghanistan,AFG,2020-06-09,11495.07,18847.7923538131,,3259.49264119944,707.14286
Afghanistan,AFG,2020-06-10,11515.84,19211.7510633038,,3260.18245738889,696.57143
Afghanistan,AFG,2020-06-11,11573.81,19624.4449130588,,3358.62557832157,691
Afghanistan,AFG,2020-06-12,11620.04,20084.5335665144,,3488.72594646966,654
Afghanistan,AFG,2020-06-13,11674.88,20588.3066804063,,3462.0428074175,650.28571
Afghanistan,AFG,2020-06-14,11757.15,21128.1317903681,,3612.18348942675,632.14286
Afghanistan,AFG,2020-06-15,11821.46,21691.6821200926,,3686.10391343213,658.71429
Afghanistan,AFG,2020-06-16,11861.78,22261.6913472488,,4032.25226070473,693.14286
Afghanistan,AFG,2020-06-17,11951.77,22815.9829136418,,4452.42040879523,676
Afghanistan,AFG,2020-06-18,12000.74,23328.2005174,,4552.72976445951,663.14286
Afghanistan,AFG,2020-06-19,12082.72,23769.206425624,,4677.63202332029,618.85714
Afghanistan,AFG,2020-06-20,12079.14,24108.3647519509,,4563.22734595564,617.42857
Afghanistan,AFG,2020-06-21,11808.02,24314.8259800702,,4749.10897185723,581
Afghanistan,AFG,2020-06-22,11357.77,24358.9735452346,,4650.00787177832,516.57143
Afghanistan,AFG,2020-06-23,10924.05,24214.2820417101,,4289.54206011615,451
Afghanistan,AFG,2020-06-24,10493.79,23860.2798108123,,3890.37422911357,403.85714
Afghanistan,AFG,2020-06-25,10119.64,23286.7171489361,,3592.23229475615,375.57143
Afghanistan,AFG,2020-06-26,9855.71,22496.9999912942,,3431.4080782557,365.57143
Afghanistan,AFG,2020-06-27,9657.18,21510.02171337,,3416.66685106196,311.14286
Afghanistan,AFG,2020-06-28,9437.25,20359.4358693149,,2965.11854516389,302.85714
Afghanistan,AFG,2020-06-29,9261.26,19089.9635785273,,2928.55367901255,297.28571
Afghanistan,AFG,2020-06-30,9061.56,17752.0804577508,,2904.78903060376,290.85714
Afghanistan,AFG,2020-07-01,8872.73,16395.3878478542,,2840.60111215368,303
Afghanistan,AFG,2020-07-02,8654.09,15063.6048278228,,2965.84499893085,263.85714
Afghanistan,AFG,2020-07-03,8487.3,13791.9385531052,,2578.60941568351,267.57143
Afghanistan,AFG,2020-07-04,8291.74,12606.2649268871,,2601.28217038462,293.71429
Afghanistan,AFG,2020-07-05,7940.06,11523.7945866873,,2830.92357035228,283.42857
Afghanistan,AFG,2020-07-06,7598.89,10554.51472807,,2699.89072146897,278.85714
Afghanistan,AFG,2020-07-07,7220.61,9702.75176705475,,2878.1147836528,266.71429
Afghanistan,AFG,2020-07-08,6880.33,8968.49620385029,,2738.48859663561,251.14286
Afghanistan,AFG,2020-07-09,6568.25,8348.3793255638,,2350.15816029829,269.42857
Afghanistan,AFG,2020-07-10,6262.35,7836.318910008,,2388.80834294715,267.14286
Afghanistan,AFG,2020-07-11,5983.72,7423.74050119964,,2529.15677832428,242
Afghanistan,AFG,2020-07-12,5706.73,7100.1903285995,,2152.38504721607,214.28571
Afghanistan,AFG,2020-07-13,5476.69,6854.0364447643,,1771.55069858607,202.14286
Afghanistan,AFG,2020-07-14,5253.66,6673.14254710834,,1234.27176654401,193.71429
Afghanistan,AFG,2020-07-15,5025.48,6545.67983547545,,1288.68085899726,200
Afghanistan,AFG,2020-07-16,4804.36,6460.52089633399,,1471.76806702631,166
Afghanistan,AFG,2020-07-17,4605.52,6407.30236170147,,1245.36198077008,147.85714
Afghanistan,AFG,2020-07-18,4411.21,6376.11120931648,,966.723252949218,131.85714
Afghanistan,AFG,2020-07-19,4221.19,6357.28567154509,,870.881713603577,144.57143
Afghanistan,AFG,2020-07-20,4054.79,6341.17220575032,,1027.50323418506,128.28571
Afghanistan,AFG,2020-07-21,3896.1,6318.0957404963,,1141.44684598875,125
Afghanistan,AFG,2020-07-22,3735.94,6278.5148320996,,953.800968788385,104.71429
Afghanistan,AFG,2020-07-23,3575.65,6213.41897910593,,875.404059091961,122.57143
Afghanistan,AFG,2020-07-24,3418.6,6115.09484511042,,803.421284758087,108.42857
Afghanistan,AFG,2020-07-25,3271.76,5978.04026879844,,690.241045882417,106.71429
Afghanistan,AFG,2020-07-26,3135.84,5799.65625819871,,781.8175890814,99.14286
Afghanistan,AFG,2020-07-27,3012.31,5580.5493104285,,712.573600583573,108.57143
Afghanistan,AFG,2020-07-28,2900.3,5324.20295993387,,675.288229874249,107.57143
Afghanistan,AFG,2020-07-29,2768.38,5036.45095731297,,662.766072602658,106.57143
Afghanistan,AFG,2020-07-30,2652.42,4724.71977246954,,492.752695988659,87.71429
Afghanistan,AFG,2020-07-31,2556.08,4397.2233773431,,542.162558719564,98.14286
Afghanistan,AFG,2020-08-01,2435.54,4062.18871582413,,593.803965830079,96.28571
Afghanistan,AFG,2020-08-02,2306.23,3727.52668459449,,486.73609677066,79.14286
Afghanistan,AFG,2020-08-03,2157.47,3400.68729076593,,393.53445188793,69.14286
Afghanistan,AFG,2020-08-04,2027.3,3088.45515203444,,334.115054471798,59.28571
Afghanistan,AFG,2020-08-05,1898.45,2796.62131277227,,316.328755715518,51
Afghanistan,AFG,2020-08-06,1796.63,2529.69734677636,,376.708013001201,56.57143
Afghanistan,AFG,2020-08-07,1712.97,2290.74098367914,,351.472251055026,48.71429
Afghanistan,AFG,2020-08-08,1636.28,2081.34670306238,,272.591328072533,49.42857
Afghanistan,AFG,2020-08-09,1566.44,1901.78497296346,,308.958124975842,54.57143
Afghanistan,AFG,2020-08-10,1496.14,1751.29954566726,,310.574966357852,59.42857
Afghanistan,AFG,2020-08-11,1422.14,1628.48953096472,,278.677330927546,69.57143
Afghanistan,AFG,2020-08-12,1368.38,1531.71103519263,,,73.71429
Afghanistan,AFG,2020-08-13,1314.35,1458.82249743784,,,70.57143
Afghanistan,AFG,2020-08-14,1265.5,1408.47073997376,,,70.14286
Afghanistan,AFG,2020-08-15,1219.7,1379.4893470841,,,70.85714
Afghanistan,AFG,2020-08-16,1188.83,1370.91416638706,,,72.42857
Afghanistan,AFG,2020-08-17,1167.72,1381.89964525615,,,73.42857
Afghanistan,AFG,2020-08-18,1147.15,1412.11412818088,,,64.28571
Afghanistan,AFG,2020-08-19,1116.57,1460.56581883117,,,59.14286
Afghanistan,AFG,2020-08-20,1091.62,1526.00067179488,,,61.42857
Afghanistan,AFG,2020-08-21,1062.12,1606.76130195347,,,55.42857
Afghanistan,AFG,2020-08-22,1038.38,1700.58887036267,,,57.42857
Afghanistan,AFG,2020-08-23,1020.81,1804.44882330176,,,57.14286
Afghanistan,AFG,2020-08-24,1004.38,1914.41426926488,,,54
Afghanistan,AFG,2020-08-25,991.03,2025.75173145199,,,50.14286
Afghanistan,AFG,2020-08-26,980.59,2133.16627587292,,,50.42857
Afghanistan,AFG,2020-08-27,966.58,2231.14342033776,,,38.14286
Afghanistan,AFG,2020-08-28,944.08,2314.48968416497,,,35
Afghanistan,AFG,2020-08-29,937.43,2378.93635438499,,,27
Afghanistan,AFG,2020-08-30,932.68,2421.39460713439,,,23.57143
Afghanistan,AFG,2020-08-31,924.15,2440.18310929253,,,16.28571
Afghanistan,AFG,2020-09-01,927.91,2435.18274158044,,,18.85714
Afghanistan,AFG,2020-09-02,925.02,2407.90715828484,,,20
Afghanistan,AFG,2020-09-03,923.69,2361.28389460698,,,24.14286
Afghanistan,AFG,2020-09-04,922.52,2299.29712481477,,,24.85714
Afghanistan,AFG,2020-09-05,920.58,2226.53407377461,,,27.28571
Afghanistan,AFG,2020-09-06,916.32,2147.74854249163,,,34.71429
Afghanistan,AFG,2020-09-07,910.41,2067.50229520499,,,47.85714
Afghanistan,AFG,2020-09-08,909.68,1989.8823335301,,,46.71429
Afghanistan,AFG,2020-09-09,907.85,1918.36567191705,,,43
Afghanistan,AFG,2020-09-10,903.67,1855.75275627161,,,40.57143
Afghanistan,AFG,2020-09-11,902.84,1804.15759159722,,,43.14286
Afghanistan,AFG,2020-09-12,900.51,1765.09560071618,,,45.28571
Afghanistan,AFG,2020-09-13,912.32,1739.54335112632,,,45.42857
Afghanistan,AFG,2020-09-14,928.87,1727.99276827986,,,39.71429
Afghanistan,AFG,2020-09-15,945.12,1730.63721013476,,,42.14286
Afghanistan,AFG,2020-09-16,970.02,1747.4478392301,,,44.42857
Afghanistan,AFG,2020-09-17,992.21,1778.21872410424,,,42.85714
Afghanistan,AFG,2020-09-18,1014.24,1822.58412500196,,,41.57143
Afghanistan,AFG,2020-09-19,1029.04,1880.01464430045,,,39.71429
Afghanistan,AFG,2020-09-20,1049.3,1949.78107895661,,,46.85714
Afghanistan,AFG,2020-09-21,1053.27,2030.9236547685,,,43.14286
Afghanistan,AFG,2020-09-22,1079.12,2122.19329742982,,,40.14286
Afghanistan,AFG,2020-09-23,1102.86,2222.02612335491,,,41.42857
Afghanistan,AFG,2020-09-24,1133.31,2328.60065520134,,,42.57143
Afghanistan,AFG,2020-09-25,1153.48,2439.91363333093,,,41.28571
Afghanistan,AFG,2020-09-26,1165.33,2553.88137283382,,,39
Afghanistan,AFG,2020-09-27,1197.01,2668.41834260787,,,26.14286
Afghanistan,AFG,2020-09-28,1224.97,2781.53493457557,,,23.57143
Afghanistan,AFG,2020-09-29,1260.83,2891.42967057503,,,22.57143
Afghanistan,AFG,2020-09-30,1297.43,2996.58161019119,,,17.57143
Afghanistan,AFG,2020-10-01,1336.37,3095.83214467379,,,16.42857
Afghanistan,AFG,2020-10-02,1377.94,3188.49171743527,,,14.85714
Afghanistan,AFG,2020-10-03,1399.32,3274.40202207765,,,15
Afghanistan,AFG,2020-10-04,1432.17,3353.89003769075,,,16.28571
Afghanistan,AFG,2020-10-05,1459.29,3427.78479955234,,,26.14286
Afghanistan,AFG,2020-10-06,1496.84,3497.37679805422,,,33.14286
Afghanistan,AFG,2020-10-07,1554.11,3564.36978381168,,,40
Afghanistan,AFG,2020-10-08,1592.11,3630.85540780738,,,47.28571
Afghanistan,AFG,2020-10-09,1640.9,3699.26814775445,,,57.57143
Afghanistan,AFG,2020-10-10,1684.64,3772.30368897895,,,58
Afghanistan,AFG,2020-10-11,1738.95,3852.80668302737,,,65.42857
Afghanistan,AFG,2020-10-12,1792.41,3943.71537155297,,,64
Afghanistan,AFG,2020-10-13,1877.36,4048.01315285356,,,63.14286
Afghanistan,AFG,2020-10-14,1953.09,4168.68282337266,,,63.71429
Afghanistan,AFG,2020-10-15,2036.33,4308.7547672483,,,58.57143
Afghanistan,AFG,2020-10-16,2129.3,4471.34271305364,,,56.42857
Afghanistan,AFG,2020-10-17,2211.17,4659.66554807526,,,62.57143
Afghanistan,AFG,2020-10-18,2296.4,4877.13270033447,,,57.28571
Afghanistan,AFG,2020-10-19,2382.76,5127.36964762276,,,59.57143
Afghanistan,AFG,2020-10-20,2469.29,5414.12007001713,,,63
Afghanistan,AFG,2020-10-21,2567.7,5741.11222401831,,,73.71429
Afghanistan,AFG,2020-10-22,2694.83,6111.79703439981,,,85.71429
Afghanistan,AFG,2020-10-23,2795.9,6528.84673015803,,,85.57143
Afghanistan,AFG,2020-10-24,2906.52,6993.42534927538,,,89.57143
Afghanistan,AFG,2020-10-25,3060.54,7504.60663165809,,,90.42857
Afghanistan,AFG,2020-10-26,3209.22,8058.9053323443,,,92.85714
Afghanistan,AFG,2020-10-27,3388.76,8649.84489978945,,,94.71429
Afghanistan,AFG,2020-10-28,3600.42,9267.75652470582,,,90.71429
Afghanistan,AFG,2020-10-29,3821.36,9899.75855649898,,,91.71429
Afghanistan,AFG,2020-10-30,4004.95,10529.7477011694,,,92.42857
Afghanistan,AFG,2020-10-31,4160.93,11138.4303558704,,,93.85714
Afghanistan,AFG,2020-11-01,4324.92,11703.5993086594,,,95.42857
Afghanistan,AFG,2020-11-02,4515.4,12203.9451182851,,,99.42857
Afghanistan,AFG,2020-11-03,4762.79,12623.5564785341,,,99.42857
Afghanistan,AFG,2020-11-04,5039.76,12954.1604711043,,,95.57143
Afghanistan,AFG,2020-11-05,5306.08,13196.2088239383,,,95.28571
Afghanistan,AFG,2020-11-06,5573.35,13358.8910559784,,,91.57143
Afghanistan,AFG,2020-11-07,5837.09,13458.1409155096,,,86.85714
Afghanistan,AFG,2020-11-08,6047.8,13512.9544707133,,,94
Afghanistan,AFG,2020-11-09,6225.16,13539.4981049339,,,94.85714
Afghanistan,AFG,2020-11-10,6442.62,13550.7113197707,,,105
Afghanistan,AFG,2020-11-11,6723.26,13561.2133037182,,,113.57143
Afghanistan,AFG,2020-11-12,6996.86,13584.3348762148,,,122.85714
Afghanistan,AFG,2020-11-13,7283.79,13626.6977309223,,,142
Afghanistan,AFG,2020-11-14,7553.22,13694.6785677625,,,143.14286
Afghanistan,AFG,2020-11-15,7807.48,13786.6036999784,,,154.42857
Afghanistan,AFG,2020-11-16,8049.24,13905.609959507,,,167.28571
Afghanistan,AFG,2020-11-17,8347.62,14036.3606275205,,,174
Afghanistan,AFG,2020-11-18,8728.31,14151.5875804697,,,187.85714
Afghanistan,AFG,2020-11-19,9148.57,14237.5548564693,,,197.42857
Afghanistan,AFG,2020-11-20,9510.74,14313.5442199915,,,199.14286
Afghanistan,AFG,2020-11-21,9730.03,14307.0301203628,,,209.71429
Afghanistan,AFG,2020-11-22,9726.12,14379.7724216411,,,209.42857
Afghanistan,AFG,2020-11-23,9599.75,14619.3019294592,,,217.14286
Afghanistan,AFG,2020-11-24,9538.4,14865.0085537527,,,213.28571
Afghanistan,AFG,2020-11-25,9484.97,15109.3164708163,,,208.57143
Afghanistan,AFG,2020-11-26,9493.31,15354.0616364953,,,203.28571
Afghanistan,AFG,2020-11-27,9477.02,15630.2657214598,,,194.28571
Afghanistan,AFG,2020-11-28,9426.22,15941.9137436967,,,191.57143
Afghanistan,AFG,2020-11-29,9398,16276.8459956736,,,201.42857
Afghanistan,AFG,2020-11-30,9352.62,16636.8280097647,,,183.71429
Afghanistan,AFG,2020-12-01,9333.94,,,,191.71429
Afghanistan,AFG,2020-12-02,9356.61,,,,190.57143
Afghanistan,AFG,2020-12-03,9319.67,,,,176.71429
Afghanistan,AFG,2020-12-04,9297.79,,,,159.14286
Afghanistan,AFG,2020-12-05,,,,,175.42857
Afghanistan,AFG,2020-12-06,,,,,170
Afghanistan,AFG,2020-12-07,,,,,177.42857
Afghanistan,AFG,2020-12-08,,,,,171.42857
Afghanistan,AFG,2020-12-09,,,,,161.85714
Afghanistan,AFG,2020-12-10,,,,,173.71429
Africa,,2020-01-24,,,,,0
Africa,,2020-01-25,,,,,0
Africa,,2020-01-26,,,,,0
Africa,,2020-01-27,,,,,0
Africa,,2020-01-28,,,,,0
Africa,,2020-01-29,,,,,0
Africa,,2020-01-30,,,,,0
Africa,,2020-01-31,,,,,0
Africa,,2020-02-01,,,,,0
Africa,,2020-02-02,,,,,0
Africa,,2020-02-03,,,,,0
Africa,,2020-02-04,,,,,0
Africa,,2020-02-05,,,,,0
Africa,,2020-02-06,,,,,0
Africa,,2020-02-07,,,,,0
Africa,,2020-02-08,,,,,0
Africa,,2020-02-09,,,,,0
Africa,,2020-02-10,,,,,0
Africa,,2020-02-11,,,,,0
Africa,,2020-02-12,,,,,0
Africa,,2020-02-13,,,,,0
Africa,,2020-02-14,,,,,0.14286
Africa,,2020-02-15,,,,,0.14286
Africa,,2020-02-16,,,,,0.14286
Africa,,2020-02-17,,,,,0.14286
Africa,,2020-02-18,,,,,0.14286
Africa,,2020-02-19,,,,,0.14286
Africa,,2020-02-20,,,,,0.14286
Africa,,2020-02-21,,,,,0
Africa,,2020-02-22,,,,,0
Africa,,2020-02-23,,,,,0
Africa,,2020-02-24,,,,,0
Africa,,2020-02-25,,,,,0.14286
Africa,,2020-02-26,,,,,0.14286
Africa,,2020-02-27,,,,,0.14286
Africa,,2020-02-28,,,,,0.28571
Africa,,2020-02-29,,,,,0.28571
Africa,,2020-03-01,,,,,0.42857
Africa,,2020-03-02,,,,,1
Africa,,2020-03-03,,,,,1.28571
Africa,,2020-03-04,,,,,2.71429
Africa,,2020-03-05,,,,,3.14286
Africa,,2020-03-06,,,,,5.71429
Africa,,2020-03-07,,,,,5.71429
Africa,,2020-03-08,,,,,11.28571
Africa,,2020-03-09,,,,,11.85714
Africa,,2020-03-10,,,,,13.28571
Africa,,2020-03-11,,,,,13.85714
Africa,,2020-03-12,,,,,15.71429
Africa,,2020-03-13,,,,,19.14286
Africa,,2020-03-14,,,,,30.14286
Africa,,2020-03-15,,,,,32.85714
Africa,,2020-03-16,,,,,44.14286
Africa,,2020-03-17,,,,,54.28571
Africa,,2020-03-18,,,,,69
Africa,,2020-03-19,,,,,92.42857
Africa,,2020-03-20,,,,,113.14286
Africa,,2020-03-21,,,,,131.14286
Africa,,2020-03-22,,,,,160.57143
